company_id,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,polarity
670,0.0,0.0652694523935211,0.0,0.0,0.01888556531830207,0.005476497763341857,0.005476497763341857,0.040552316847311816,0.09241270168587269
671,0.0271066189557236,0.05846899062152964,0.0,0.0,0.05846899062152964,0.0,0.0271066189557236,0.1027715880325439,0.13413395969834993
677,0.0,0.006374653382772875,0.0,-0.003026752079431975,0.006374653382772875,-0.003026752079431975,0.0,0.08221202269572782,-0.058138635144545925
679,0.007085506243536787,0.005305354741268562,0.0034042211533151564,0.01032790468323837,0.008573032066792807,0.00770141481787545,0.005334668150698894,0.04039906237007447,0.025589413559663966
682,0.0,0.00811425233652025,0.0,-0.0005223538278003399,0.0,0.0064803981597487004,0.00183184645953215,0.04083558943870565,0.040637597155945046
690,0.028548098210688683,0.015592898063977434,0.0,0.04414099627466611,0.005948330610844134,0.0,0.0,0.01913453531389895,-0.01905813034992303
693,0.005727226883390784,0.013388962263137426,0.001167005048938746,0.016195572544121604,0.0057014581818322346,0.007380166211836273,0.003227847549445519,0.023775269089527293,0.017659112144113233
694,0.0,0.0,0.0,0.13497275484524135,0.0,0.13497275484524135,0.0,0.04459636041213255,-0.0903763944331088
698,0.0,0.019456369360475078,0.0,0.0044382795674891,0.014188668551974763,0.0,0.0,0.0567703250293889,0.07198502797400827
701,0.013565334421192834,0.00507687923400582,0.0,0.01694659275534788,0.008383793919522627,0.012077187925284835,0.015798430427494153,0.02156745911254072,0.010269578930744412
703,0.0,0.025602806494160545,0.0,0.0005515049328113777,0.02048808840355439,0.013345199987016255,0.013345199987016255,0.009090733883371524,0.03414203544472069
705,0.0070782069866968,0.005536839422312441,0.0,0.0050854295944027005,0.0028469225319512417,0.0047582315027374,0.009847673528439,0.0038054560611142335,0.0011221015870831914
706,0.01790592957552221,0.016242335547950522,0.0,0.06899173736293562,0.027209646098916143,0.06041188118915105,0.03526510886688276,0.027248752376832566,-0.008141470146791988
716,0.001309453195699353,0.004007438082400805,0.005222719744401007,0.003535152000372,0.005720530502530224,0.0029353951183201353,0.001013435273420859,0.02578220690635017,0.0102764630443399
718,0.007210838607046715,0.0,0.004672260703238343,0.04160935624240257,0.004672260703238343,0.04160935624240257,0.006131622238110672,0.02000547987231643,-0.015472254131975473
726,0.0,0.012916734170068967,0.0,0.0,0.006377075146936067,0.006377075146936067,0.006377075146936067,0.006875464836586034,0.0132525399835221
728,0.0,0.0,0.0,0.0,0.03182855079116665,0.01786148900069385,0.0,0.09764277479399167,0.057719933338971074
730,0.0,0.0208423660556399,0.012744233192906185,0.0,0.0,0.0,0.0,0.026331056374996886,0.0344291892377306
732,0.0,0.01406496796386868,0.0,0.01702905292228904,0.0,0.0,0.01358932851833986,0.00943263381469674,-0.0071207796620634785
733,0.0009915532197458522,0.008493821457971363,0.0007591346021031953,0.006375706755599619,0.0035530367465064,0.006375706755599619,0.006166835155611286,0.013160120015023454,0.011144078747962381
